timestamp;q0;dq0;tau0;q1;dq1;tau1;q2;dq2;tau2;q3;dq3;tau3;q4;dq4;tau4;q5;dq5;tau5;q6;dq6;tau6;q7;dq7;tau7;q8;dq8;tau8;q9;dq9;tau9;q10;dq10;tau10;q11;dq11;tau11;ff0;ff1;ff2;ff3;px0;py0;pz0;px1;py1;pz1;px2;py2;pz2;px3;py3;pz3
1758267956.748247146606;0.142425;-0.011210;0.589844;0.813860;-0.000439;0.492188;-1.638579;-0.000261;5.562500;-0.050866;-0.009469;-1.085938;0.847165;0.001944;0.343750;-1.599421;0.000422;3.558594;0.067701;-0.015995;1.109375;0.857157;-0.000767;-0.023438;-1.625015;-0.000006;5.710938;0.026644;0.008873;-1.878906;0.771048;0.005170;0.691406;-1.551824;0.000337;3.523438;369;143;321;150;0.189697;-0.084656;-0.299254;0.174010;0.111568;-0.300241;-0.201176;-0.106751;-0.297405;-0.186621;0.134804;-0.301834
1758267956.768023252487;0.142425;-0.007877;0.542969;0.813860;0.000350;0.542969;-1.638579;-0.006012;5.636719;-0.050806;0.002770;-1.062500;0.847165;-0.002467;0.218750;-1.599421;0.000118;3.523438;0.067761;-0.002998;1.234375;0.857157;0.000301;-0.023438;-1.625015;0.000137;5.750000;0.026644;0.000545;-1.804688;0.771048;0.007025;0.664062;-1.551824;0.001605;3.707031;369;142;320;150;0.189697;-0.084656;-0.299254;0.173999;0.111587;-0.300231;-0.201158;-0.106769;-0.297402;-0.186621;0.134822;-0.301829
1758267956.788509368896;0.142425;-0.006584;0.640625;0.813860;0.000256;0.417969;-1.638539;0.011952;5.636719;-0.050866;0.000797;-1.062500;0.847165;0.000472;0.320312;-1.599421;-0.000011;3.597656;0.067761;-0.002078;1.136719;0.857157;-0.008656;0.046875;-1.625015;0.005083;5.785156;0.026644;-0.000725;-1.878906;0.770987;0.001727;0.640625;-1.551824;0.000394;3.671875;369;143;320;150;0.189679;-0.084656;-0.299254;0.174017;0.111569;-0.300235;-0.201158;-0.106751;-0.297406;-0.186621;0.134822;-0.301829
1758267956.808483123779;0.142486;0.000631;0.589844;0.813860;-0.004823;0.441406;-1.638539;0.010090;5.636719;-0.050806;0.002746;-1.062500;0.847165;-0.001177;0.394531;-1.599421;0.000106;3.820312;0.067701;-0.014729;1.210938;0.857157;0.000415;0.000000;-1.625015;0.000342;5.898438;0.026584;-0.002274;-1.976562;0.771048;0.003308;0.640625;-1.551824;0.005694;3.671875;369;142;320;150;0.189679;-0.084638;-0.299256;0.174017;0.111587;-0.300231;-0.201176;-0.106751;-0.297405;-0.186621;0.134822;-0.301829
1758267956.828479766846;0.142425;-0.005548;0.566406;0.813860;-0.000201;0.468750;-1.638579;-0.002123;5.562500;-0.050866;-0.005275;-1.109375;0.847165;-0.001264;0.292969;-1.599421;0.000073;3.632812;0.067761;0.001856;1.160156;0.857157;-0.003615;-0.023438;-1.625015;0.000016;6.007812;0.026644;-0.000203;-2.000000;0.771048;0.004001;0.640625;-1.551824;0.001076;3.746094;369;143;320;150;0.189679;-0.084638;-0.299256;0.174017;0.111569;-0.300235;-0.201176;-0.106733;-0.297408;-0.186621;0.134804;-0.301834
1758267956.848454713821;0.142425;-0.002081;0.589844;0.813860;-0.000590;0.617188;-1.638579;-0.000194;5.562500;-0.050806;0.006242;-1.109375;0.847165;0.001548;0.269531;-1.599421;0.000183;3.820312;0.067761;0.003978;1.136719;0.857157;0.000105;0.000000;-1.625015;0.003081;5.675781;0.026584;-0.004521;-1.851562;0.771048;0.002964;0.664062;-1.551824;0.000202;3.820312;370;143;320;150;0.189679;-0.084638;-0.299256;0.174017;0.111587;-0.300231;-0.201176;-0.106751;-0.297405;-0.186621;0.134822;-0.301829
1758267956.868990898132;0.142486;0.005979;0.617188;0.813860;-0.000080;0.492188;-1.638579;-0.000159;5.710938;-0.050806;0.013129;-1.109375;0.847165;-0.001252;0.292969;-1.599421;0.000018;3.597656;0.067761;0.002049;1.160156;0.857157;-0.000408;-0.023438;-1.625015;0.000281;5.750000;0.026584;-0.007372;-1.828125;0.771048;-0.001650;0.640625;-1.551824;0.000310;3.558594;369;143;320;150;0.189679;-0.084638;-0.299256;0.174017;0.111569;-0.300235;-0.201176;-0.106751;-0.297405;-0.186621;0.134822;-0.301829
1758267956.889008522034;0.142425;-0.014643;0.589844;0.813860;-0.000512;0.515625;-1.638579;-0.000570;5.675781;-0.050806;0.008212;-1.085938;0.847165;0.000498;0.320312;-1.599421;-0.000359;3.558594;0.067761;0.008036;1.183594;0.857157;-0.000288;-0.023438;-1.625015;0.003935;5.710938;0.026584;-0.008230;-2.000000;0.770987;-0.013204;0.691406;-1.551824;0.000608;3.671875;370;143;320;150;0.189679;-0.084638;-0.299256;0.174017;0.111587;-0.300231;-0.201176;-0.106751;-0.297405;-0.186621;0.134822;-0.301829
1758267956.908420324326;0.142486;0.000356;0.640625;0.813921;0.008719;0.417969;-1.638579;0.000088;5.488281;-0.050866;-0.013348;-1.085938;0.847165;-0.001263;0.246094;-1.599421;-0.000046;3.597656;0.067761;0.010395;1.183594;0.857157;0.000334;-0.070312;-1.625015;0.002746;5.824219;0.026644;0.004695;-1.925781;0.771048;-0.002433;0.839844;-1.551824;0.000481;3.707031;369;143;320;150;0.189679;-0.084638;-0.299256;0.174017;0.111569;-0.300235;-0.201176;-0.106751;-0.297405;-0.186621;0.134804;-0.301834
1758267956.928332090378;0.142486;0.006046;0.515625;0.813860;0.003938;0.468750;-1.638579;-0.000181;5.562500;-0.050866;-0.005228;-1.109375;0.847165;0.001682;0.269531;-1.599421;0.000361;3.781250;0.067701;-0.016065;1.160156;0.857096;-0.015344;0.070312;-1.625015;0.000167;5.785156;0.026644;0.002275;-1.828125;0.771048;-0.007355;0.617188;-1.551865;-0.000632;3.632812;369;143;320;150;0.189673;-0.084637;-0.299262;0.174035;0.111587;-0.300232;-0.201176;-0.106769;-0.297401;-0.186615;0.134822;-0.301822
